UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 314070000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=314070000 | node=0 | EXP=CAN[STD ] id=0x181 dlc=2 bytes=2 attempt=3 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x181 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 314070000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=314070000 | node=1 | EXP=CAN[STD ] id=0x181 dlc=2 bytes=2 attempt=3 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x181 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 314070000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=314070000 | node=2 | EXP=CAN[STD ] id=0x181 dlc=2 bytes=2 attempt=3 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x181 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 320410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=320410000 | node=0 | EXP=CAN[STD ] id=0x191 dlc=2 bytes=2 attempt=6 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x191 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 320410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=320410000 | node=1 | EXP=CAN[STD ] id=0x191 dlc=2 bytes=2 attempt=6 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x191 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 320410000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=320410000 | node=2 | EXP=CAN[STD ] id=0x191 dlc=2 bytes=2 attempt=6 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x191 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 607530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=607530000 | node=0 | EXP=CAN[STD ] id=0x102 dlc=2 bytes=2 attempt=7 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x102 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 607530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=607530000 | node=1 | EXP=CAN[STD ] id=0x102 dlc=2 bytes=2 attempt=7 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x102 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 607530000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=607530000 | node=2 | EXP=CAN[STD ] id=0x102 dlc=2 bytes=2 attempt=7 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x102 dlc=2 bytes=2 attempt=0 data=a2 12  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 614170000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=614170000 | node=0 | EXP=CAN[STD ] id=0x182 dlc=2 bytes=2 attempt=5 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x182 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
